,Section,Class NBR,Instructor Name,A,B,C,D,F,AU,P,NG,W,I,IP,Pending,Total,Raw,Average,Median,Mode,σ,Semester,Classes
GLG 112L,801,10543,"Sitton,Mark Edward",18,3,0,1,3,0,0,0,0,0,0,0,25,3.28,4,4,1.4,,Fall 2008,GLG 112L
GLG 112L,A,5324,"Beach,Megan E",17,4,2,0,1,0,0,0,1,0,0,0,25,3.5,4.0,4,0.9780192938436515,,Fall 2008,GLG 112L
GLG 112L,B,5326,"Zelawski,Mallory L",17,8,0,0,0,0,0,0,1,0,0,0,26,3.68,4,4,0.4760952285695233,,Fall 2008,GLG 112L
GLG 112L,C,5328,"Sitton,Mark Edward",13,10,0,0,1,0,0,0,0,0,0,0,24,3.417,4.0,4,0.8805466023105079,,Fall 2008,GLG 112L
GLG 112L,D,5330,"Tinnin,Beau Morres",13,5,1,1,3,0,0,0,1,0,0,0,24,3.043,4,4,1.4295028019803127,,Fall 2008,GLG 112L
GLG 112L,E,5332,"Howell,Evan Richard",7,8,4,1,0,0,0,0,5,0,0,0,25,3.05,3.0,3,0.8870412083230169,,Fall 2008,GLG 112L
GLG 112L,F,5950,"Wagner,Rachelle Rae",19,2,2,1,1,0,0,0,0,0,0,0,25,3.48,4,4,1.0847426730181986,,Fall 2008,GLG 112L
GLG 112L,G,5952,"Hallam,Valerie Gail",15,6,2,0,0,0,0,0,0,0,0,0,23,3.565,4,4,0.6623708763718501,,Fall 2008,GLG 112L
GLG 112L,H,5954,"Beach,Megan E",13,7,1,0,2,0,0,0,1,0,0,0,24,3.261,4,4,1.1761799222424119,,Fall 2008,GLG 112L
GLG 112L,I,5968,"Zelawski,Mallory L",8,6,5,0,1,0,0,0,0,0,0,0,20,3,3.0,4,1.0760551736979407,,Fall 2008,GLG 112L
GLG 112L,J,5970,"Beach,Megan E",16,3,3,1,0,0,0,0,0,0,0,0,23,3.478,4,4,0.8979555170897592,,Fall 2008,GLG 112L
GLG 112L,K,6366,"Zelawski,Mallory L",16,3,5,2,0,0,0,0,0,0,0,0,26,3.269,4.0,4,1.0414486951431572,,Fall 2008,GLG 112L
GLG 112L,L,6368,"Howell,Evan Richard",14,10,0,0,1,0,0,0,0,0,0,0,25,3.44,4,4,0.8698658900466592,,Fall 2008,GLG 112L
GLG 112L,M,6816,"Howell,Evan Richard",6,5,0,1,1,0,0,0,0,0,0,0,13,3.077,3,4,1.255755978254962,,Fall 2008,GLG 112L
GLG 112L,N,6818,"Hallam,Valerie Gail",12,6,6,1,0,0,0,0,0,0,0,0,25,3.16,3,4,0.9433981132056604,,Fall 2008,GLG 112L
GLG 112L,O,10386,"Hallam,Valerie Gail",16,6,2,1,0,0,0,0,0,0,0,0,25,3.48,4,4,0.8225975119502044,,Fall 2008,GLG 112L
GLG 112L,P,10387,"Wagner,Rachelle Rae",18,4,0,1,0,0,0,0,2,0,0,0,25,3.696,4,4,0.7029019463944166,,Fall 2008,GLG 112L
GLG 112L,R,10573,"Long,Ashley McCleaf",6,4,3,3,0,0,0,0,0,0,0,0,16,2.812,3.0,4,1.1672617529928753,,Fall 2008,GLG 112L
GLG 112L,S,10574,"Koehler,Peter Andrew",12,0,1,0,0,0,0,0,0,0,0,0,13,3.846,4,4,0.5547001962252291,,Fall 2008,GLG 112L
GLG 201,1,5962,"Elliott,David Kenneth",8,7,11,2,0,0,0,0,1,0,0,0,29,2.75,3.0,2,0.9670497325294006,,Fall 2008,GLG 201
GLG 208,1,12696,"Riggs,Nancy Rosalind",0,0,0,0,1,0,28,0,9,0,0,0,38,,,,,,Fall 2008,GLG 208
GLG 225,1,6370,"Elliott,David Kenneth",5,11,3,0,3,1,0,0,2,0,0,0,25,2.682,3.0,3,1.249242194534775,,Fall 2008,GLG 225
GLG 240,1,5334,"Duebendorfer,Ernest M",3,5,8,0,2,0,0,0,2,0,0,0,20,2.389,2.0,2,1.1447521637192346,,Fall 2008,GLG 240
GLG 309,1,5340,"Hoisch,Thomas David",4,6,3,4,0,0,0,0,0,0,0,0,17,2.588,3,3,1.121317502394603,,Fall 2008,GLG 309
GLG 430,1,5344,"Kaufman,Darrell S",7,12,4,1,0,0,0,0,0,0,0,0,24,3.042,3.0,3,0.8064504441319253,,Fall 2008,GLG 430
GLG 435,1,5348,"Duebendorfer,Ernest M",5,3,4,0,0,0,0,0,0,0,0,0,12,3.083,3.0,4,0.90033663737852,,Fall 2008,GLG 435
GLG 451,1,4682,"Springer,Abraham E",4,5,1,0,0,0,0,0,0,0,0,0,10,3.3,3.0,3,0.6749485577105528,,Fall 2008,GLG 451
GLG 470,1,6644,"Brumbaugh,David Scott",6,5,1,0,0,0,0,0,0,0,0,0,12,3.417,3.5,4,0.6685579234215215,,Fall 2008,GLG 470
GLG 100,2,5334,"Wittke,James Henry",11,21,36,14,4,0,0,0,2,0,0,0,88,2.244,2.0,2,1.0282600553605437,,Spring 2009,GLG 100
GLG 100,801,10636,"Koehler,Peter Andrew",8,9,7,1,1,0,0,0,0,0,0,0,26,2.846,3.0,3,1.0466062370273814,,Spring 2009,GLG 100
GLG 100L,801,10637,"Koehler,Peter Andrew",11,3,3,0,8,0,0,0,0,0,0,0,25,2.36,3,4,1.7767010628315238,,Spring 2009,GLG 100L
GLG 100L,A,5336,"Best,Joanne Alexandra",11,8,3,1,0,0,0,0,0,0,0,0,23,3.261,3,4,0.8643121965600912,,Spring 2009,GLG 100L
GLG 100L,B,5338,"Best,Joanne Alexandra",4,12,4,0,1,0,0,0,1,0,0,0,22,2.857,3,3,0.9102589898327995,,Spring 2009,GLG 100L
GLG 100L,C,5340,"Best,Joanne Alexandra",7,8,3,2,0,0,0,0,1,0,0,0,21,3,3.0,3,0.9733285267845752,,Spring 2009,GLG 100L
GLG 100L,D,5342,"Donegan,Colleen Shannon",12,2,3,0,0,0,0,0,0,0,0,0,17,3.529,4,4,0.7998161553463028,,Spring 2009,GLG 100L
GLG 101,1,5362,"Hoisch,Thomas David",2,7,4,5,3,0,0,0,0,0,0,0,21,2,2,3,1.2649110640673518,,Spring 2009,GLG 101
GLG 101,2,10249,"Hoisch,Thomas David",7,10,8,3,2,0,0,0,2,0,0,0,32,2.567,3.0,3,1.165105688067746,,Spring 2009,GLG 101
GLG 102,1,5364,"Koehler,Peter Andrew",19,8,3,1,0,0,0,0,2,0,0,0,33,3.452,4,4,0.8098851637699159,,Spring 2009,GLG 102
GLG 103,A,5366,"Maloney,Sara Jane",11,6,2,0,0,0,0,0,0,0,0,0,19,3.474,4,4,0.696692268479466,,Spring 2009,GLG 103
GLG 103,B,5368,"Maloney,Sara Jane",7,3,0,0,1,0,0,0,2,0,0,0,13,3.364,4,4,1.2060453783110545,,Spring 2009,GLG 103
GLG 103,C,10250,"Kassel,Christopher Michael",10,6,1,0,2,0,0,0,1,0,0,0,20,3.158,4,4,1.2588865404147536,,Spring 2009,GLG 103
GLG 104,A,5370,"Millhouse,Amanda M",11,10,9,0,0,0,0,0,1,0,0,0,31,3.067,3.0,4,0.8276819867946673,,Spring 2009,GLG 104
GLG 112,1,5374,"Brumbaugh,David Scott",18,29,22,3,3,0,0,0,0,0,0,0,75,2.747,3,3,1.0012604668728924,,Spring 2009,GLG 112
GLG 112,2,5790,"Best,David Malcolm",14,46,22,8,8,0,0,0,1,0,0,0,99,2.51,3.0,3,1.095867570063641,,Spring 2009,GLG 112
GLG 112,3,6424,"Koehler,Peter Andrew",21,44,23,0,4,0,0,0,1,0,0,0,93,2.848,3.0,3,0.9250456788091175,,Spring 2009,GLG 112
GLG 112,4,6542,"Best,David Malcolm",19,35,29,9,4,0,0,0,1,0,0,0,97,2.583,3.0,3,1.0429378208913578,,Spring 2009,GLG 112
GLG 112,5,6688,"Koehler,Peter Andrew",30,36,23,0,0,0,0,0,3,0,0,0,92,3.079,3,3,0.7720209473889645,,Spring 2009,GLG 112
GLG 112,801,10638,"Koehler,Peter Andrew",17,6,1,0,2,0,0,0,1,0,0,0,27,3.385,4.0,4,1.1340872303988994,,Spring 2009,GLG 112
GLG 112L,801,10639,"Koehler,Peter Andrew",18,1,2,2,2,0,0,0,1,0,0,0,26,3.24,4,4,1.3625955623979797,,Spring 2009,GLG 112L
GLG 112L,A,5376,"Millhouse,Amanda M",16,2,2,1,2,0,0,0,2,0,0,0,25,3.261,4,4,1.3217547325894203,,Spring 2009,GLG 112L
GLG 112L,B,5378,"Gaither,Tenielle Amanda",17,2,1,1,0,0,0,0,1,0,0,0,22,3.667,4,4,0.7958224257542215,,Spring 2009,GLG 112L
GLG 112L,C,5380,"Gaither,Tenielle Amanda",18,6,2,1,0,0,0,0,0,0,0,0,27,3.519,4,4,0.8024179982245189,,Spring 2009,GLG 112L
GLG 112L,D,5382,"Howell,Evan Richard",13,8,4,0,1,0,0,0,0,0,0,0,26,3.231,3.5,4,0.9922778767136676,,Spring 2009,GLG 112L
GLG 112L,E,5384,"Helfrich,Eric Paul",16,3,3,0,2,0,0,0,0,0,0,0,24,3.292,4.0,4,1.2328534123049195,,Spring 2009,GLG 112L
GLG 112L,F,5792,"Helfrich,Eric Paul",15,3,3,0,0,0,0,0,1,0,0,0,22,3.571,4,4,0.7464200272921789,,Spring 2009,GLG 112L
GLG 112L,G,5794,"Gaither,Tenielle Amanda",17,6,2,0,0,0,0,0,0,0,0,0,25,3.6,4,4,0.6454972243679028,,Spring 2009,GLG 112L
GLG 112L,H,5796,"Zelawski,Mallory L",16,4,3,0,1,0,0,0,0,0,0,0,24,3.417,4.0,4,1.0179547554081032,,Spring 2009,GLG 112L
GLG 112L,I,6050,"Zelawski,Mallory L",18,6,1,0,1,0,0,0,0,0,0,0,26,3.538,4.0,4,0.9046886417224096,,Spring 2009,GLG 112L
GLG 112L,J,6052,"Donegan,Colleen Shannon",18,4,1,0,0,0,0,0,0,0,0,0,23,3.739,4,4,0.540823555863717,,Spring 2009,GLG 112L
GLG 112L,K,6440,"Sitton,Mark Edward",21,2,0,1,0,0,0,0,0,0,0,0,24,3.792,4.0,4,0.6580053301400784,,Spring 2009,GLG 112L
GLG 112L,L,6442,"Kassel,Christopher Michael",10,12,1,1,2,0,0,0,0,0,0,0,26,3.038,3.0,3,1.1482428046635165,,Spring 2009,GLG 112L
GLG 112L,M,6482,"Hallam,Valerie Gail",11,8,3,1,2,0,0,0,0,0,0,0,25,3,3,4,1.224744871391589,,Spring 2009,GLG 112L
GLG 112L,N,6810,"Millhouse,Amanda M",13,5,3,0,1,0,0,0,1,0,0,0,23,3.318,4.0,4,1.04135276655684,,Spring 2009,GLG 112L
GLG 112L,O,10255,"Zelawski,Mallory L",14,3,6,1,0,0,0,0,0,0,0,0,24,3.25,4.0,4,0.9890707100936805,,Spring 2009,GLG 112L
GLG 112L,P,11681,"Wagner,Rachelle Rae",13,1,5,0,0,0,0,0,1,0,0,0,20,3.421,4,4,0.901590537370498,,Spring 2009,GLG 112L
GLG 112L,Q,11682,"Donegan,Colleen Shannon",9,4,3,0,1,0,0,0,1,0,0,0,18,3.176,4,4,1.1311108542958477,,Spring 2009,GLG 112L
GLG 112L,R,11683,"Helfrich,Eric Paul",14,3,1,0,0,0,0,0,2,0,0,0,20,3.722,4.0,4,0.5745131499601416,,Spring 2009,GLG 112L
GLG 112L,T,11737,"Hallam,Valerie Gail",9,7,1,0,3,0,0,0,1,0,0,0,21,2.95,3.0,4,1.394538218230416,,Spring 2009,GLG 112L
GLG 115,1,10256,"Kaufman,Darrell S",7,7,4,7,3,0,0,0,0,0,0,0,28,2.286,2.5,4,1.38395950639602,,Spring 2009,GLG 115
GLG 190,1,10811,"Wittke,James Henry",6,10,5,0,0,0,0,0,2,0,0,0,23,3.048,3,3,0.7400128699009548,,Spring 2009,GLG 190
GLG 190L,A,10812,"Verba,Circe A",6,9,5,0,0,0,0,0,3,0,0,0,23,3.05,3.0,3,0.7591546545162482,,Spring 2009,GLG 190L
GLG 201,1,5386,"Elliott,David Kenneth",11,8,10,1,0,0,0,0,1,0,0,0,31,2.967,3.0,4,0.9278574999588488,,Spring 2009,GLG 201
GLG 202,1,10252,"Elliott,David Kenneth",8,8,14,5,1,0,0,0,0,0,0,0,36,2.472,2.0,2,1.0819588350001679,,Spring 2009,GLG 202
GLG 208,1,10687,"Blakey,Ronald Clyde",0,0,0,0,0,0,24,0,4,0,0,0,28,,,,,,Spring 2009,GLG 208
GLG 240,1,5388,"Riggs,Nancy Rosalind",6,9,6,1,2,0,0,0,3,0,0,0,27,2.667,3.0,3,1.1671841502435296,,Spring 2009,GLG 240
GLG 304,1,6392,"Best,David Malcolm",12,3,0,0,0,0,0,0,0,0,0,0,15,3.8,4,4,0.4140393356054125,,Spring 2009,GLG 304
GLG 315,1,5394,"Ort,Michael Harold",4,7,2,2,1,0,0,0,1,0,0,0,17,2.688,3.0,3,1.1954775893619531,,Spring 2009,GLG 315
GLG 324,1,5398,"Blakey,Ronald Clyde",4,11,3,0,1,0,0,0,1,0,0,0,20,2.895,3,3,0.936585811581694,,Spring 2009,GLG 324
GLG 350W,1,6048,"Riggs,Nancy Rosalind",8,7,1,0,0,0,0,0,1,0,0,0,17,3.438,3.5,4,0.6291528696058958,,Spring 2009,GLG 350W
GLG 440C,1,6256,"Duebendorfer,Ernest M/Blakey,Ronald Clyde/Springer,Abraham E/Riggs,Nancy Rosalind",4,7,0,0,0,0,0,0,0,0,0,0,11,3.364,3,3,0.504524979109513,,Spring 2009,GLG 440C
GLG 100,1,5487,"Wittke,James Henry",2,8,15,2,2,0,0,0,0,0,0,0,29,2.207,2,2,0.9403384779971361,,Fall 2009,GLG 100
GLG 100,2,5491,"Koehler,Peter Andrew",11,22,16,0,0,0,0,0,2,0,0,0,51,2.898,3,3,0.7428800362772712,,Fall 2009,GLG 100
GLG 100,801,11899,"Koehler,Peter Andrew",9,5,1,1,2,0,0,0,2,0,0,0,20,3,3.5,4,1.3719886811400708,,Fall 2009,GLG 100
GLG 100L,801,11900,"Koehler,Peter Andrew",14,1,0,1,7,0,0,0,3,0,0,0,26,2.609,4,4,1.8766297265136729,,Fall 2009,GLG 100L
GLG 100L,A,5493,"Best,Joanne Alexandra",7,8,2,1,1,0,0,0,0,0,0,0,19,3,3,3,1.1055415967851334,,Fall 2009,GLG 100L
GLG 100L,C,5497,"Hallam,Valerie Gail",18,1,1,0,1,0,0,0,0,0,0,0,21,3.667,4,4,0.9660917830792959,,Fall 2009,GLG 100L
GLG 100L,D,5499,"Best,Joanne Alexandra",10,6,0,0,0,0,0,0,0,0,0,0,16,3.625,4.0,4,0.5,,Fall 2009,GLG 100L
GLG 100L,F,5503,"Best,Joanne Alexandra",3,14,4,1,0,0,0,0,1,0,0,0,23,2.864,3.0,3,0.7101612523427367,,Fall 2009,GLG 100L
GLG 101,1,5515,"Ort,Michael Harold",6,13,8,3,3,0,0,0,1,0,0,0,34,2.485,3,3,1.1758298165873144,,Fall 2009,GLG 101
GLG 101,2,10744,"Hoisch,Thomas David",7,10,8,7,6,0,0,0,0,0,0,0,38,2.132,2.0,3,1.3590746580049584,,Fall 2009,GLG 101
GLG 103,A,5519,"Anderson,Zachary W",14,2,2,2,1,0,0,0,0,0,0,0,21,3.238,4,4,1.2611408289624877,,Fall 2009,GLG 103
GLG 103,B,5521,"Schmidt,Matthew James",12,7,1,2,3,0,0,0,0,0,0,0,25,2.92,3,4,1.411854572303158,,Fall 2009,GLG 103
GLG 103,C,7045,"Arnold,Megan S",8,7,0,2,4,0,0,0,0,0,0,0,21,2.619,3,4,1.5644868320376006,,Fall 2009,GLG 103
GLG 112,1,5523,"Best,David Malcolm",14,25,23,13,12,0,0,0,2,0,0,0,89,2.184,2,3,1.2715924426809664,,Fall 2009,GLG 112
GLG 112,2,6137,"Sample,James Clifford",16,17,17,8,11,0,0,0,5,0,0,0,74,2.275,2,3,1.3707453744224076,,Fall 2009,GLG 112
GLG 112,3,6531,"Duschatko,Beth Christine",2,16,19,5,8,0,0,0,0,0,0,0,50,1.98,2.0,2,1.1155670288774078,,Fall 2009,GLG 112
GLG 112,4,6809,"Brumbaugh,David Scott",30,35,22,3,3,0,0,0,1,0,0,0,94,2.925,3,3,0.9916670104226228,,Fall 2009,GLG 112
GLG 112,5,7047,"Koehler,Peter Andrew",25,38,29,1,1,0,0,0,1,0,0,0,95,2.904,3.0,3,0.8433056938328902,,Fall 2009,GLG 112
GLG 112,6,11332,"Koehler,Peter Andrew",14,19,9,0,4,0,0,0,3,0,0,0,49,2.848,3.0,3,1.1346539620195093,,Fall 2009,GLG 112
GLG 112,801,11901,"Koehler,Peter Andrew",14,5,4,1,1,0,0,0,2,0,0,0,27,3.2,4,4,1.118033988749895,,Fall 2009,GLG 112
GLG 112L,801,11902,"Koehler,Peter Andrew",13,4,3,0,2,0,0,0,2,0,0,0,24,3.182,4.0,4,1.2587357087234732,,Fall 2009,GLG 112L
GLG 112L,A,5525,"Lindner,Philip Jeffrey",21,3,0,0,0,0,0,0,0,0,0,0,24,3.875,4.0,4,0.3378319623460881,,Fall 2009,GLG 112L
GLG 112L,B,5527,"Littlefield III,John M",19,2,0,0,2,0,0,0,0,0,0,0,23,3.565,4,4,1.1609591237233643,,Fall 2009,GLG 112L
GLG 112L,C,5529,"Littlefield III,John M",21,2,0,1,0,0,0,0,0,0,0,0,24,3.792,4.0,4,0.6580053301400784,,Fall 2009,GLG 112L
GLG 112L,D,5531,"Lindner,Philip Jeffrey",20,1,3,0,0,0,0,0,0,0,0,0,24,3.708,4.0,4,0.6902530516863499,,Fall 2009,GLG 112L
GLG 112L,E,5533,"Carson,Mary L",8,5,0,0,4,0,0,0,2,0,0,0,19,2.765,3,4,1.6404805608687458,,Fall 2009,GLG 112L
GLG 112L,F,6139,"Wagner,Rachelle Rae",14,4,1,0,1,0,0,0,2,0,0,0,22,3.5,4.0,4,1.0,,Fall 2009,GLG 112L
GLG 112L,G,6141,"Lindner,Philip Jeffrey",17,3,2,0,1,0,0,0,0,0,0,0,23,3.522,4,4,0.9940534656094302,,Fall 2009,GLG 112L
GLG 112L,H,6143,"Littlefield III,John M",19,3,0,0,0,0,0,0,1,0,0,0,23,3.864,4.0,4,0.35125008665710444,,Fall 2009,GLG 112L
GLG 112L,I,6157,"Samra,Charles P",22,1,0,0,0,0,0,0,0,0,0,0,23,3.957,4,4,0.20851441405707477,,Fall 2009,GLG 112L
GLG 112L,J,6159,"Wagner,Rachelle Rae",18,3,0,0,0,0,0,0,1,0,0,0,22,3.857,4,4,0.3585685828003181,,Fall 2009,GLG 112L
GLG 112L,K,6533,"Silvio,Matthew James",19,3,1,1,0,0,0,0,0,0,0,0,24,3.667,4.0,4,0.7613869876268811,,Fall 2009,GLG 112L
GLG 112L,L,6535,"Silvio,Matthew James",21,1,1,0,0,0,0,0,0,0,0,0,23,3.87,4,4,0.45769658728016,,Fall 2009,GLG 112L
GLG 112L,M,6841,"Unema,Joel Andrew",16,6,0,1,0,0,0,0,0,0,0,0,23,3.609,4,4,0.7223151185146152,,Fall 2009,GLG 112L
GLG 112L,N,6843,"Wagner,Rachelle Rae",9,3,0,0,1,0,0,0,1,0,0,0,14,3.462,4,4,1.126601424298216,,Fall 2009,GLG 112L
GLG 112L,O,7049,"Silvio,Matthew James",16,5,0,0,1,0,0,0,1,0,0,0,23,3.591,4.0,4,0.9081163607574333,,Fall 2009,GLG 112L
GLG 112L,P,7051,"Samra,Charles P",11,5,0,0,3,0,0,0,0,0,0,0,19,3.105,4,4,1.448935887014454,,Fall 2009,GLG 112L
GLG 112L,Q,7113,"Carson,Mary L",19,4,0,0,0,0,0,0,1,0,0,0,24,3.826,4,4,0.38755338788158983,,Fall 2009,GLG 112L
GLG 112L,R,7115,"Carson,Mary L",10,3,4,0,1,0,0,0,1,0,0,0,19,3.167,4.0,4,1.1504474832710556,,Fall 2009,GLG 112L
GLG 112L,S,7117,"Unema,Joel Andrew",12,4,1,1,0,0,0,0,0,0,0,0,18,3.5,4.0,4,0.8574929257125442,,Fall 2009,GLG 112L
GLG 112L,T,7207,"Unema,Joel Andrew",4,6,1,0,0,0,0,0,1,0,0,0,12,3.273,3,3,0.6466697906828632,,Fall 2009,GLG 112L
GLG 112L,U,12667,"Samra,Charles P",17,2,2,0,0,0,0,0,0,0,0,0,21,3.714,4,4,0.6436503043467892,,Fall 2009,GLG 112L
GLG 201,1,6151,"Elliott,David Kenneth",7,4,7,3,3,0,0,0,3,0,0,0,27,2.375,2.0,4,1.3772215255487341,,Fall 2009,GLG 201
GLG 208,02,12733,"Riggs,Nancy Rosalind",0,0,0,0,0,0,16,0,0,0,0,0,16,,,,,,Fall 2009,GLG 208
GLG 225,1,6537,"Elliott,David Kenneth",8,9,13,1,1,0,0,0,2,0,0,0,34,2.688,3.0,2,0.9979818344716921,,Fall 2009,GLG 225
GLG 240,1,5535,"Riggs,Nancy Rosalind",4,6,1,2,1,0,0,0,2,0,0,0,16,2.714,3.0,3,1.2666473875533018,,Fall 2009,GLG 240
GLG 240,2,10746,"Brumbaugh,David Scott",6,1,7,0,2,0,0,0,0,0,0,0,16,2.562,2.0,2,1.3647344063956182,,Fall 2009,GLG 240
GLG 309,1,5541,"Hoisch,Thomas David",5,9,13,6,3,0,0,0,0,0,0,0,36,2.194,2.0,2,1.1419142936176314,,Fall 2009,GLG 309
GLG 430,1,5545,"Kaufman,Darrell S",4,10,2,1,0,0,0,0,0,0,0,0,17,3,3,3,0.7905694150420949,,Fall 2009,GLG 430
GLG 435,1,5549,"Duebendorfer,Ernest M",6,6,4,2,1,0,0,0,0,0,0,0,19,2.737,3,4,1.1945294407402949,,Fall 2009,GLG 435
GLG 451,1,4893,"Maslansky,Steven Paul",7,5,6,2,1,0,0,0,0,0,0,0,21,2.714,3,4,1.1892374507581378,,Fall 2009,GLG 451
GLG 470,1,6745,"Wittke,James Henry/Brumbaugh,David Scott",5,8,4,2,1,0,0,0,0,0,0,0,20,2.7,3.0,3,1.1285761872936695,,Fall 2009,GLG 470
GLG 100,1,5976,"Middleton,Larry Thomas",5,5,9,3,2,0,0,0,1,0,0,0,25,2.333,2.0,2,1.203858530857692,,Spring 2010,GLG 100
GLG 100,2,5042,"Duschatko,Beth Christine",7,26,18,9,2,0,0,0,1,0,0,0,63,2.435,3.0,3,0.9854842820803348,,Spring 2010,GLG 100
GLG 100,801,10642,"Koehler,Peter Andrew",9,5,4,3,4,0,0,0,0,0,0,0,25,2.48,3,4,1.503329637837291,,Spring 2010,GLG 100
GLG 100L,801,10625,"Koehler,Peter Andrew",7,3,1,1,12,0,0,0,1,0,0,0,25,1.667,0.5,0,1.8336626845141692,,Spring 2010,GLG 100L
GLG 100L,A,5044,"Hallam,Valerie Gail",14,5,1,1,0,0,0,0,0,0,0,0,21,3.524,4,4,0.8135752957807666,,Spring 2010,GLG 100L
GLG 100L,B,5046,"Clark,Sarah Elizabeth",4,15,3,0,0,0,0,0,0,0,0,0,22,3.045,3.0,3,0.5754727023663513,,Spring 2010,GLG 100L
GLG 100L,C,5048,"Hardwick,Ryan Adam",3,13,5,0,1,0,0,0,0,0,0,0,22,2.773,3.0,3,0.8691439785278705,,Spring 2010,GLG 100L
GLG 100L,D,5050,"Hallam,Valerie Gail",14,3,0,0,2,0,0,0,2,0,0,0,21,3.421,4,4,1.261207070569223,,Spring 2010,GLG 100L
GLG 101,1,5052,"Hoisch,Thomas David",7,18,9,6,2,0,0,0,1,0,0,0,43,2.524,3.0,3,1.0873573971677286,,Spring 2010,GLG 101
GLG 102,1,5054,"Koehler,Peter Andrew",20,18,3,0,3,0,0,0,0,0,0,0,44,3.182,3.0,4,1.0625272039795581,,Spring 2010,GLG 102
GLG 103,A,5056,"Schmidt,Matthew James",11,5,2,2,2,0,0,0,0,0,0,0,22,2.955,3.5,4,1.3619759010270172,,Spring 2010,GLG 103
GLG 103,B,5058,"Hardwick,Ryan Adam",9,4,3,2,2,0,0,0,1,0,0,0,21,2.8,3.0,4,1.399247918291146,,Spring 2010,GLG 103
GLG 104,A,5060,"Samra,Charles P",8,8,3,0,2,0,0,0,1,0,0,0,22,2.952,3,4,1.2031704150364766,,Spring 2010,GLG 104
GLG 104,B,11552,"Zelawski,Mallory L",6,9,4,0,1,0,0,0,0,0,0,0,20,2.95,3.0,3,0.998683343734455,,Spring 2010,GLG 104
GLG 107,01,9829,"Sample,James Clifford",16,21,22,4,12,1,0,0,8,0,0,0,84,2.333,2,2,1.3186124293130028,,Spring 2010,GLG 107
GLG 112,1,5062,"Brumbaugh,David Scott",8,12,6,2,1,0,0,0,0,0,0,0,29,2.828,3,3,1.037475146595308,,Spring 2010,GLG 112
GLG 112,2,5420,"Best,David Malcolm",26,44,38,8,8,0,0,0,3,0,0,0,127,2.581,3.0,3,1.0902134809483128,,Spring 2010,GLG 112
GLG 112,3,5970,"Koehler,Peter Andrew",24,41,18,1,1,0,0,0,0,0,0,0,85,3.012,3,3,0.8090870464539003,,Spring 2010,GLG 112
GLG 112,4,6040,"Best,David Malcolm",17,27,30,5,4,0,0,0,2,0,0,0,85,2.578,3,2,1.0373568890743534,,Spring 2010,GLG 112
GLG 112,5,6104,"Koehler,Peter Andrew",34,44,16,3,1,0,0,0,2,0,0,0,100,3.092,3.0,3,0.8505514850611592,,Spring 2010,GLG 112
GLG 112,6,6406,"Brumbaugh,David Scott",15,34,21,3,3,0,0,0,0,0,0,0,76,2.724,3.0,3,0.960537130436595,,Spring 2010,GLG 112
GLG 112,801,10626,"Koehler,Peter Andrew",12,7,3,0,2,0,0,0,3,0,0,0,27,3.125,3.5,4,1.190998850070631,,Spring 2010,GLG 112
GLG 112L,801,10627,"Koehler,Peter Andrew",15,2,2,0,2,0,0,0,3,0,0,0,24,3.333,4,4,1.2780193008453875,,Spring 2010,GLG 112L
GLG 112L,A,5064,"Wagner,Rachelle Rae",21,3,0,0,1,0,0,0,0,0,0,0,25,3.72,4,4,0.8426149773176358,,Spring 2010,GLG 112L
GLG 112L,B,5066,"Arnold,Megan S",12,8,3,0,1,0,0,0,0,0,0,0,24,3.25,3.5,4,0.9890707100936805,,Spring 2010,GLG 112L
GLG 112L,C,5068,"Samra,Charles P",17,7,0,0,0,0,0,0,1,0,0,0,25,3.708,4.0,4,0.4643056214875365,,Spring 2010,GLG 112L
GLG 112L,D,5070,"Samra,Charles P",22,3,0,0,0,0,0,0,1,0,0,0,26,3.88,4,4,0.33166247903553997,,Spring 2010,GLG 112L
GLG 112L,E,5072,"Beach,Megan E",16,6,2,1,0,0,0,0,0,0,0,0,25,3.48,4,4,0.8225975119502044,,Spring 2010,GLG 112L
GLG 112L,F,5422,"Beach,Megan E",15,4,1,1,2,0,0,0,0,0,0,0,23,3.261,4,4,1.2869057782967013,,Spring 2010,GLG 112L
GLG 112L,G,5424,"Lindner,Philip Jeffrey",13,9,1,1,1,0,0,0,0,0,0,0,25,3.28,4,4,1.0214368964029708,,Spring 2010,GLG 112L
GLG 112L,H,5426,"Unema,Joel Andrew",20,4,0,0,2,0,0,0,0,0,0,0,26,3.538,4.0,4,1.1038394532093598,,Spring 2010,GLG 112L
GLG 112L,I,5646,"Unema,Joel Andrew",19,4,2,0,0,0,0,0,0,0,0,0,25,3.68,4,4,0.6271629240742259,,Spring 2010,GLG 112L
GLG 112L,J,5648,"Carson,Mary L",21,2,1,0,1,0,0,0,1,0,0,0,26,3.68,4,4,0.9,,Spring 2010,GLG 112L
GLG 112L,K,5978,"Carson,Mary L",19,7,0,0,1,0,0,0,0,0,0,0,27,3.593,4,4,0.8439494725697222,,Spring 2010,GLG 112L
GLG 112L,L,5980,"Arnold,Megan S",16,7,2,0,1,0,0,0,1,0,0,0,27,3.423,4.0,4,0.9454343731037886,,Spring 2010,GLG 112L
